DATE,DNKPROCONAISMEI
01/01/1995,89.81022965
01/01/1996,93.77348643
01/01/1997,92.45240084
01/01/1998,100.2635815
01/01/1999,106.4967989
01/01/2000,88.075
01/01/2001,92.475
01/01/2002,90.625
01/01/2003,89.125
01/01/2004,93.775
01/01/2005,98.625
01/01/2006,104.525
01/01/2007,107.225
01/01/2008,107.375
01/01/2009,94.825
01/01/2010,88.7
01/01/2011,91.525
01/01/2012,92.45
01/01/2013,91.7
01/01/2014,95.725
01/01/2015,100
01/01/2016,104.65
01/01/2017,109.025
01/01/2018,112.65
01/01/2019,114.775
01/01/2020,118.175
01/01/2021,126.35
01/01/2022,133.275
